Name,Translation
aaditya,आदिशा
aarifa,आरिफा
abhishak,अभिकशा
abishek,अनिशकश
ajab,अजब
ajaj,अजराज
ajim,अजीम
ajmer,अजमेर
akansh,आकाश
akbar,आकाश
akram,आकाश
akshita,अक्षिता
altab,अलीब
ameen,अमीन
amjad,अम्रजा
amreek,अमरिक
amreeta,अमृता
anamika,अस्काका
aniket,अनिस्त
animesh,अनिमेश
anishkaa,अनिष्का
ankala,अंकला
annish,अंनीश
anshika,अंशिका
anshum,अंशुम
araddhna,अर्शाधना
aradhya,अर्घया
areen,आरतीन
arif,आरिफ
arnub,अर्णब
arvinda,अरविंदा
arzoo,अर्जुर
asharam,आशाराम
ashiqu,आशिफ
ashlam,आलमश
ashman,आमान
ashsish,आयुष
asruddin,आसुद्दीन
avantika,अविका
avneet,अवतंत
babali,बैबी
baban,बबल
babupuri,बाजूतरी
bachcha,बच्चाच
balbiri,बलबीर
banju,बन्नू
barham,बाट
beeti,बेटी
bhagay,भय
bhatia,भतिया
bhola,भोला
bhoomi,भोंदी
bhoop,भोपो
binpal,बिपाल
bipin,बिसन
bipnesh,बिनेश
bir,बीर
biraj,बीराज
birmati,बिरिशी
bishan,बिशन
bivla,बि्ला
bodu,बोू
boduram,बोताराम
brajendra,ब्रजज
bram,बबल
bupal,बुपाल
chaman,चमन
chandesh,चांद
chando,चंदू
chandru,चांदू
chaubey,चैयब
chertamani,चेर्णगुनी
chhamo,छोनो
chiranjavi,चिैर्जि
chunni,चुनी
danveer,वीरावीर
deba,बा्बा
deendyal,दींस
deep,दीप
deepender,दीपाेंदर
deni,देन्नी
deva,देवा
deveshwari,देवेशणिमा
devi,देवी
devraj,देवेंद्र
dhaney,धनेय
dharambir,धर्मबीर
dharmveer,धर्मवीर
dhirender,धिधीर
dilip,दिलिप
dimpu,दीपमला
dipeeka,दीपेन्द्र
disi,दिसि
divakar,दिवाकर
dular,दुमर
dulari,दुलाल
dund,दुदस
durgashankar,दुर्गाब
etahsaam,एताह
faraha,फ़रारा
farha,फ़रहा
fulo,फॉफ
gaffur,गफ्फानौर
ganguly,गणय
gappu,गप्पू
geetu,गीतू
ghan,घन
gobind,गोबिंद
gonsan,गोसनन
gulabsha,गुलाबशा
gulbasha,गुलबाशन
gulfan,गुलफ़ान
guluram,गुलाराम
gungun,गुनगुन
gupta,गुप्ता
gurmel,गुरुल
gurubaksh,गुरुबक्षय
gurucharan,गुरुचरण
gyanu,ज्ञायू
hanni,हानी
hanumanram,हनुराम
hardam,हरदाम
harleen,हरलेन
harmani,हरमानी
hasmita,हस्नेता
hem,हेम
himansi,हिमांसी
ibrahim,इब्राहीम
ijhar,ईहैज
ikrar,इकरार
ilema,इल्मा
irsad,इरसद
ishtkar,ईशतकर
israr,इस्ररार
jagriti,जगरी
jaiprakash,जयप्रकाश
jamrujaha,जमुुथा
jani,जनी
janid,जनिद
jasvant,जस्वंत
jasveer,जसवीर
jasvir,जसवीर
javal,जलवल
