Name,Translation
aaditya,आदित्या
aarifa,आरिफा
abhishak,अभिषक
abishek,अनिष्क
ajab,अजब
ajaj,अजाज
ajim,अजीम
ajmer,अजमेर
akansh,आंशा
akbar,अबरार
akram,अरमा
akshita,अक्ता
altab,अलत
ameen,अमीन
amjad,अमजाद
amreek,अमरक
amreeta,अमृता
anamika,अनिष्का
aniket,अनिष्त
animesh,अनिश
anishkaa,अनिष्का
ankala,आलिया
annish,अंनीश
anshika,अंशिका
anshum,अंशुम
araddhna,अरधना
aradhya,अर्य
areen,आमिन
arif,आरिफ
arnub,अर्णब
arvinda,अरविंद
arzoo,अर्रुण्डी
asharam,आशाना
ashiqu,आशिक
ashlam,आशम
ashman,आंशुन
ashsish,आश्सिश
asruddin,आसुद्दीन
avantika,अवकांता
avneet,अवनीत
babali,बबला
baban,बन
babupuri,बद्री
bachcha,बच्छा
balbiri,बलबीर
banju,बजु
barham,बाबर
beeti,बे
bhagay,भगय
bhatia,भारती
bhola,भोला
bhoomi,भोनू
bhoop,भोपू
binpal,बीपाल
bipin,बिन
bipnesh,बिंशा
bir,बीर
biraj,बीराज
birmati,बिमती
bishan,बिशन
bivla,बिमला
bodu,बोूद
boduram,बोबीम
brajendra,ब्रज
bram,ब
bupal,बुपाल
chaman,चमन
chandesh,चंदेश
chando,चंदू
chandru,चंदू
chaubey,चम्बेपाल
chertamani,चेतना
chhamo,छोम
chiranjavi,जाविरज
chunni,चुनी
danveer,वीरदा
deba,देबा
deendyal,दीटिलो
deep,दीप
deepender,दीपा
deni,देनी
deva,देवा
deveshwari,देवेशी
devi,देवी
devraj,देवा
dhaney,धनी
dharambir,धर्मबीर
dharmveer,धर्मवीर
dhirender,ध्रीेंद्र
dilip,दिलदीप
dimpu,दिम्पल
dipeeka,दीपिका
disi,दि
divakar,दिदिवाध
dular,दुर
dulari,दुरी
dund,द्रुद
durgashankar,दुर्गापुष्शचंद्र
etahsaam,एक्तह
faraha,फ़र
farha,फ़रहा
fulo,फॉर
gaffur,गफ्जुल
ganguly,गणपी
gappu,गंध
geetu,गीतू
ghan,न
gobind,गोबिद
gonsan,गोंस
gulabsha,गुलाबशा
gulbasha,गुलशाना
gulfan,गुलफ़ान
guluram,गुलूराम
gungun,गुगुन
gupta,गुप्ता
gurmel,गुरमल
gurubaksh,गुरुौचरण
gurucharan,गुरुचरण
gyanu,ज्ञाू
hanni,हनी
hanumanram,हनुमान
hardam,हरदा
harleen,हरीन
harmani,हरम
hasmita,हस्मिता
hem,हेम
himansi,हिमांशुराजेओमेन्द्र
ibrahim,इब्राहम
ijhar,ईशाज
ikrar,इक्अक्शिबरक़
ilema,इल्मा
irsad,इसाद
ishtkar,ईकोशिश्वदार्ओमीस
israr,इस्रार
jagriti,जगतारी
jaiprakash,जयप्रकाश
jamrujaha,जमीहा
jani,जनी
janid,जनद
jasvant,जस्त
jasveer,जसवीर
jasvir,जसवीर
javal,वल
jayalalithaa,जयजयमा
jeeya,जीया
jhansi,झांझरिया
jitin,जीत
jomiya,जोयारिया
joya,जोया
jubed,जुबेद
juna,जुना
junl,जुल
jya,या
kalip,कलीप
kamal,कमल
kamil,कमल
kamini,कामीनी
kamrudeen,कामरुन
kapish,कपिश
karunakar,करूना
kasturi,कस्तूरी
khalidur,खली
kheem,खीम
khetra,खेरा
khusbu,खुशबू
khushabu,खुशबू
khushnudi,खुशबू
khushnuma,खुशबू
kishore,किशोर
kokila,कोशल्ला
koushik,कोकोकोशिकोकोश्शितेकोसाहकोसाहरुशिकोसाहसाह
krishka,कृषिका
kuldeel,कुलभूषि
kumkum,कुमरून
kunden,कुन
kusham,कुम
labbhi,लाबैन
laka,ल
lakhamichand,लाखचंद
laskshita,लता
lavkush,लव
lilaram,लिलाराम
lukman,लुक्चु
madharam,मधाराम
madhava,मव
madhuni,मधु
mahadevi,महविद
mahasingh,महनाथ
mahesh,महेश
mahipal,माही
maisan,मैन
mallika,मल्लिका
malti,मावती
mamata,मामाता
manan,मनन
mandan,मनंद
manish,मनीष
manit,मनीषा
manku,मंका
manmath,मंदो
mansha,मन्षा
manuja,मनुजा
marjina,मार्जिना
masoom,मसूम
mayank,मयूर
mayushi,मयूष
megraaj,मेघाज
mesak,मेक
methun,मेनुनु
mhosin,एमएचृछोटी
midhana,मिया
mithu,मिहु
mohanram,मोहन
moolchul,मूल
mukkesh,मुकेश
mula,मुला
muntiyaj,मुन्टियान
muslim,मुस्लिम
najmin,नहा
najre,ना
najreen,नज
nanda,नदा
nanka,नक
narain,नरण
narbahadur,नरहादुर
naresh,नरेश
nargesh,नरेश
naseema,नसीमा
nathuram,नाथूराम
nausad,नौद
naveeja,नवी
navin,नवी
naviya,नव्या
nayaka,याक
neeru,नीलू
neil,नेल
nicharon,निडन
nikky,निक्की
niladri,निड्डी
nimahe,निमला
nirosha,निर्जिना
nisat,निसार
nittin,नितिन
noorjhan,नूरजहान
nshima,नंशी
nuraish,नुहरि
oli,ओली
omesh,ओमेश
omkar,ओंकारेश्वर
panku,पंकून
pannu,पंछी
papiya,पप्या
papu,पनम
pardeep,परदीप
pargati,परगति
parniti,परवीनी
parul,परल
phirdos,फॉर्स
pintu,पिंटू
pooga,पोगा
popatlal,पोपितिर
pphola,पल्ला
prabhat,प्रभात
prabhila,प्रभाला
prachi,प्रणि
pramjot,प्रामत
pramod,प्रोद
prayatan,प्रताण
prem,प्रेम
premchand,प्रेम
premo,प्रेम
prempal,प्रेपाल
preyojit,प्रेमजीत
pritee,प्रीती
pritika,प्रीतिका
priyanshu,प्रियांशु
puneeta,पुनीता
punkaj,पूका
pushkar,पुष्पकार
puspa&,पुष्पा
qadeem,क़दीम
radheyshyam,राध्यश्याम
raeeyan,रायन
rafal,रफल
ragini,रगिनी
raja,राजा
rajkarnta,राजकांत
rajput,राजत
raksha,रक्षा
rambarose,रामसेर
rambir,रामबीर
ramli,राम
ramulu,रामुल
rangeeta,रंगीता
ranjita,रणजीता
rashma,रश्मा
ratn,रत
revakshi,रेती
rihana,रिहाना
rini,रिी
rinka,रिंके
rony,रोसी
roshanlal,रोलाल
ruji,रूजी
rukmani,रुक्कम
saalu,साली
saaniya,सानिया
saddam,सादम
safiq,सफिक
sahaja,सहजा
sahajad,सहजा
saheb,साहब
sahenaj,सहज
sahun,साहून
sajni,सजनी
salauddin,सलामुद्दीन
saleem,सलम
sally,सली
saloni,सलोनी
samarth,सम्मिनाध
samim,समीम
samir,समिर
samiron,समीर
santna,संतना
sapana,सपना
sashi,साशी
sashikala,सशिफ
satrughan,सतरुनंद
satvik,सत्वीक
satyvrat,सत्यव
sauni,सानी
shabanm,शबानम
shadna,शानाद
shahir,शाहिर
shahnaj,शाहना
shahruf,शाहरुफ
shakti,शतिक
shakutal,शकुवल
shamsher,शमर्बर
shan,शा
shanshak,शंक
shelly,शेली
shi,शि
shimpi,शिमला
shivkumari,शिवकुमारी
shobhit,शोभानत
shreemati,श्रीमती
shsi,श्सी
shyama,श्याम
shyamvati,श्याम
shymo,श्याम
siddharth,सिद्धार्थर्थ
simpi,सिम्पानी
sirajuddin,सिराज
sivani,सिनी
siya,सिया
smriti,श्रीमती
soban,सोब
somprakash,सोभेमस
sony,सोन
sourav,सौरव
spna,सपना
stephen,स्टिओम
sufiya,सुफ़िया
sugandha,सुगंति
sukhavinder,सुखीनुदीन
sukhpreeet,सुखेट
sunny,सुनी
tabbasum,तब्बसुम
tajinder,ताजंदर
talwar,तल
tamana,तमना
tamanna,तमना
tanish,तनिश
tanuj,तनु
tanushri,तनुश्री
taramati,तारा
tarnnum,तार्नूम
teena,तीना
tikku,तिकून
tilak,तिलकराज
tina,ति
tinku,टिून
tofik,तोक्क
upender,उपेंद्रपेंद्र
vahab,वाबहा
vajid,जीद
vandhna,वंधना
varda,वर्षा
vasa,वसा
vashanavi,वैशान्वी
verendra,वेरेंद्र
veshali,वेशली
vijay,विजय
viney,विक्की
vipta,विप्ता
vrendra,वरेंद्र
waghal,वाघल
yasin,यान
yesh,येश
